categorie,type,difficulte,question,reponse_correcte,reponses_incorrectes,toutes_reponses
Science & Nature,multiple,hard,What nucleotide pairs with guanine?,Cytosine,Thymine|Adenine|Uracil,Cytosine|Thymine|Adenine|Uracil
Science: Gadgets,multiple,medium,Which company developed the Hololens?,Microsoft,HTC|Oculus|Tobii,Microsoft|HTC|Oculus|Tobii
Science: Computers,multiple,medium,Which of these is the name for the failed key escrow device introduced by the National Security Agency in 1993?,Clipper Chip,Enigma Machine|Skipjack|Nautilus,Clipper Chip|Enigma Machine|Skipjack|Nautilus
Entertainment: Japanese Anime & Manga,multiple,easy,"In ""A Certain Scientific Railgun"", how many ""sisters"" did Accelerator have to kill to achieve the rumored level 6?","20,000","128|10,000|5,000","20,000|128|10,000|5,000"
General Knowledge,multiple,medium,What is the name given to Indian food cooked over charcoal in a clay oven?,Tandoori,Biryani|Pani puri|Tiki masala,Tandoori|Biryani|Pani puri|Tiki masala
Entertainment: Video Games,multiple,easy,Who is the main protagonist of Dead Space?,Isaac Clarke,Commander Shepard|Gordon Freeman|Master Chief,Isaac Clarke|Commander Shepard|Gordon Freeman|Master Chief
Entertainment: Music,multiple,hard,"What is the stage name of New Zealand singer Phillipa ""Pip"" Brown?",Ladyhawke,Lorde|Kesha|Anika Moa,Ladyhawke|Lorde|Kesha|Anika Moa
Entertainment: Video Games,multiple,medium,"In the game ""Red Dead Redemption"", what is the name of John Marston's dog?",Rufus,Rutus|Finn|Apollo,Rufus|Rutus|Finn|Apollo
Entertainment: Video Games,multiple,hard,"In Super Smash Bros. for Nintendo 3DS and Nintendo Wii U, who was the sixth fighter to be added to the game post-launch?",Corrin,Cloud|Bayonnetta|Ryu,Corrin|Cloud|Bayonnetta|Ryu
Vehicles,multiple,easy,What is the fastest road legal car in the world?,Koenigsegg Agera RS,Hennessy Venom GT|Bugatti Veyron Super Sport|Pagani Huayra BC,Koenigsegg Agera RS|Hennessy Venom GT|Bugatti Veyron Super Sport|Pagani Huayra BC
Geography,multiple,hard,What is the largest city and commercial capital of Sri Lanka?,Colombo,Moratuwa|Negombo|Kandy,Colombo|Moratuwa|Negombo|Kandy
Entertainment: Film,multiple,medium,Which town is the setting for the Disney movie The Love Bug (1968)?,San Francisco,Los Angeles|Sacramento|San Jose,San Francisco|Los Angeles|Sacramento|San Jose
Entertainment: Video Games,multiple,easy,"In CoD: Black Ops III, what is the name of the rogue A.I. antagonist?",Corvus,Cabal|Legion|Icarus,Corvus|Cabal|Legion|Icarus
Geography,multiple,medium,Which of the following countries is within the Eurozone but outside of the Schengen Area?,Cyprus,Malta|Greece|Portugal,Cyprus|Malta|Greece|Portugal
Mythology,multiple,medium,What animal did Queen Pasipahe sleep with before she gave birth to the Minotaur in Greek Mythology?,Bull,Pig|Ox|Horse,Bull|Pig|Ox|Horse
Science & Nature,multiple,easy,Which is the most abundant element in the universe?,Hydrogen,Helium|Lithium|Oxygen,Hydrogen|Helium|Lithium|Oxygen
Entertainment: Video Games,multiple,medium,"In Overwatch, how old is Reinhardt Wilhelm?",61,59|65|62,61|59|65|62
Entertainment: Video Games,multiple,easy,What war is Call Of Duty: Black Ops based on?,Cold War,WW3|Vietnam|WW1,Cold War|WW3|Vietnam|WW1
History,multiple,easy,The original Roman alphabet lacked the following letters EXCEPT:,X,W|U|J,X|W|U|J
Entertainment: Music,multiple,medium,"Where does ""Gasolina"" rapper Daddy Yankee originate from?",Puerto Rico,Cuba|Mexico|Spain,Puerto Rico|Cuba|Mexico|Spain
Science & Nature,multiple,medium,Which of these choices is not one of the phases of mitosis?,Diplophase,Metaphase|Anaphase|Telophase,Diplophase|Metaphase|Anaphase|Telophase
General Knowledge,multiple,easy,"What is the Spanish word for ""donkey""?",Burro,Caballo|Toro|Perro,Burro|Caballo|Toro|Perro
Entertainment: Television,multiple,medium,"In ""Breaking Bad,"" which main character was planned to be killed in Season 1 but wasn't because the show creator liked the actor?",Jesse Pinkman,Saul Goodman|Gus Fring|Hank Schrader,Jesse Pinkman|Saul Goodman|Gus Fring|Hank Schrader
Geography,multiple,hard,Which country is completely landlocked by South Africa?,Lesotho,Swaziland|Botswana|Zimbabwe,Lesotho|Swaziland|Botswana|Zimbabwe
General Knowledge,multiple,easy,What is the name of the poker hand containing three of a kind and a pair?,Full House,Flush|Straight|High card,Full House|Flush|Straight|High card
Entertainment: Video Games,multiple,easy,"Blinky, Pinky, Inky and Clyde are characters from which classic video game?",Pac-Man,Gauntlet|Space Invaders|Street Fighter,Pac-Man|Gauntlet|Space Invaders|Street Fighter
Entertainment: Japanese Anime & Manga,multiple,easy,What is the last name of Edward and Alphonse in the Fullmetal Alchemist series.,Elric,Ellis|Eliek|Elwood,Elric|Ellis|Eliek|Elwood
Science: Computers,multiple,medium,"In computing terms, typically what does CLI stand for?",Command Line Interface,Common Language Input|Control Line Interface|Common Language Interface,Command Line Interface|Common Language Input|Control Line Interface|Common Language Interface
Animals,multiple,medium,What are the scales on all snakes and most lizards are made of?,Keratin,Ecdysis|Epidermis|Ankyloglossia,Keratin|Ecdysis|Epidermis|Ankyloglossia
Entertainment: Music,multiple,easy,Which 80s band is fronted by singer/guitarist Robert Smith?,The Cure,The Smiths|Echo & the Bunnymen|New Order,The Cure|The Smiths|Echo & the Bunnymen|New Order
Science: Computers,multiple,hard,"Australia, Japan, and Southeast Asia are in which ITU Region?",Region 3,Region 1|Region 2|Region 4,Region 3|Region 1|Region 2|Region 4
Science: Computers,multiple,hard,"According to DeMorgan's Theorem, the Boolean expression (AB)' is equivalent to:",A' + B',A'B + B'A|A'B'|AB' + AB,A' + B'|A'B + B'A|A'B'|AB' + AB
General Knowledge,multiple,easy,What is the first book of the Old Testament?,Genesis,Exodus|Leviticus|Numbers,Genesis|Exodus|Leviticus|Numbers
Entertainment: Music,multiple,easy,"In the  Rossini opera, what was the name of 'The Barber of Seville'?",Figaro,Angelo|Fernando|Dave,Figaro|Angelo|Fernando|Dave
Science: Computers,multiple,easy,How many values can a single byte represent?,256,8|1|1024,256|8|1|1024
Entertainment: Japanese Anime & Manga,multiple,hard,"In ""Jewelpet Sunshine"", what is the song that plays when Kanon and her friends bust out of prison?",I Don't Want to Miss a Thing,Eye Of The Tiger|Born to be Wild|Ruby Ring,I Don't Want to Miss a Thing|Eye Of The Tiger|Born to be Wild|Ruby Ring
Entertainment: Video Games,multiple,easy,"In Minecraft, which two items must be combined to craft a torch?",Stick and Coal,Stick and Fire|Wood and Coal|Wood and Fire,Stick and Coal|Stick and Fire|Wood and Coal|Wood and Fire
Celebrities,multiple,medium,Which of these people is NOT a part of the Internet comedy group Mega64?,Jon Jafari,Rocco Botte|Derrick Acosta|Shawn Chatfield,Jon Jafari|Rocco Botte|Derrick Acosta|Shawn Chatfield
Entertainment: Video Games,multiple,medium,The creator of the Touhou Project series is:,ZUN,SUN|RUN|PUN,ZUN|SUN|RUN|PUN
Entertainment: Film,multiple,medium,Johnny Depp made his big-screen acting debut in which film?,A Nightmare on Elm Street,My Bloody Valentine|Halloween|Friday the 13th,A Nightmare on Elm Street|My Bloody Valentine|Halloween|Friday the 13th
Entertainment: Video Games,multiple,medium,Which of the following characters were considered for inclusion in Super Smash Bros. Melee?,Lucas,Mega Man|Meta Knight|Diddy Kong,Lucas|Mega Man|Meta Knight|Diddy Kong
Geography,multiple,easy,Which country does Austria not border?,France,Slovenia|Switzerland|Slovakia,France|Slovenia|Switzerland|Slovakia
Science: Gadgets,multiple,easy,Which virtual assistant is developed by Amazon?,Alexa,Google Assistant|Siri|Cortana,Alexa|Google Assistant|Siri|Cortana
Entertainment: Video Games,multiple,easy,Which company developed the free battle royale game Fortnite?,Epic Games,Valve|Ubisoft|Square Enix,Epic Games|Valve|Ubisoft|Square Enix
Entertainment: Video Games,multiple,hard,"Which of the Master levels in ""Super Monkey Ball"" is also used in the arcade version of the game, simply named ""Monkey Ball""?",MASTER 9 - Bridge Master,MASTER 3 - Stamina Master|MASTER 10 - Monkey Master|MASTER 6 - Roll Master,MASTER 9 - Bridge Master|MASTER 3 - Stamina Master|MASTER 10 - Monkey Master|MASTER 6 - Roll Master
Entertainment: Film,multiple,easy,The Queen song `A Kind Of Magic` is featured in which 1986 film?,Highlander,Flash Gordon|Labyrinth|Howard the Duck,Highlander|Flash Gordon|Labyrinth|Howard the Duck
Entertainment: Video Games,multiple,hard,"In the ""PAYDAY"" series, what is the real name of the character known as ""Dallas""?",Nathan Steele,Nate Siemens|Nick Stamos|Nolan Stuhlinger,Nathan Steele|Nate Siemens|Nick Stamos|Nolan Stuhlinger
Entertainment: Cartoon & Animations,multiple,medium,"Who created ""RWBY""?",Monty Oum,Miles Luna|Kerry Shawcross|Shane Newville,Monty Oum|Miles Luna|Kerry Shawcross|Shane Newville
Entertainment: Video Games,multiple,hard,"In the SHMUP series, ""Gradius"", what is the name of the antagonist faction you fight against?",Bacterion,Bydo|Belsar|ORN Empire,Bacterion|Bydo|Belsar|ORN Empire
Science: Computers,multiple,easy,This mobile OS held the largest market share in 2012.,iOS,Android|BlackBerry|Symbian,iOS|Android|BlackBerry|Symbian
Entertainment: Board Games,multiple,hard,What do you declare in Rīchi Mahjong when you've drawn your winning tile?,Tsumo,Ron|Rīchi|Kan,Tsumo|Ron|Rīchi|Kan
Entertainment: Video Games,multiple,medium,"In the game ""Brawlhalla"", what species is the character Bödvar is?",Half Human / Half Bear,A Human|Half Wolf / Half Bear|Half Tiger /  Half Human,Half Human / Half Bear|A Human|Half Wolf / Half Bear|Half Tiger /  Half Human
Entertainment: Film,multiple,medium,"Which documentary film maker wrote and starred in the film ""My Scientology Movie"" which first debuted in 2015?",Louis Theroux,Errol Morris|Joe Berlinger|Adam Curtis,Louis Theroux|Errol Morris|Joe Berlinger|Adam Curtis
Entertainment: Film,multiple,hard,"In what year does Jurassic World open in the ""Jurassic Park"" universe?",2005,2007|2015|2020,2005|2007|2015|2020
Mythology,multiple,medium,Neptune's greek name was...,Poseidon,Ares|Zeus|Apollo,Poseidon|Ares|Zeus|Apollo
History,multiple,hard,The Hagia Sophia was commissioned by which emperor of the Byzantine Empire?,Justinian I,Constantine IV|Arcadius|Theodosius the Great,Justinian I|Constantine IV|Arcadius|Theodosius the Great
Entertainment: Video Games,multiple,medium,"What system was ""Touhou: Highly Responsive to Prayers"" released on?",PC-98,OSX 10.9.5|Windows ME|Windows 98,PC-98|OSX 10.9.5|Windows ME|Windows 98
Entertainment: Video Games,multiple,easy,Which of these following weapon or equipment exists in Counter Strike but not in Counter Strike: Source?,Tactical Shield,Molotov Cocktail|MP5 Navy|TMP,Tactical Shield|Molotov Cocktail|MP5 Navy|TMP
Entertainment: Musicals & Theatres,multiple,hard,"Which actor has NOT portrayed Billy Flynn in the musical ""Chicago""?",Christopher Walken,David Hasselhoff|Jerry Springer|Patrick Swayze,Christopher Walken|David Hasselhoff|Jerry Springer|Patrick Swayze
Entertainment: Video Games,multiple,hard,How many people can you recruit in the game Suikoden in a single playthrough?,107,108|93|96,107|108|93|96
History,multiple,medium,What disease crippled President Franklin D. Roosevelt and led him to help the nation find a cure? ,Polio,Cancer|Meningitis|HIV,Polio|Cancer|Meningitis|HIV
Entertainment: Video Games,multiple,hard,In the National Pokedex what number is Porygon-Z?,474,376|432|589,474|376|432|589
Geography,multiple,medium,Which state of the United States is the smallest?,Rhode Island ,Maine|Vermont|Massachusetts,Rhode Island |Maine|Vermont|Massachusetts
Entertainment: Video Games,multiple,easy,"Before it's redesign of the company logo in the year 2000, which 3D shape is NOT represented in the Electronic Arts logo?",Cylinder,Pyramid|Cube|Sphere,Cylinder|Pyramid|Cube|Sphere
Sports,multiple,medium,Which car manufacturer won the 2016 24 Hours of Le Mans?,Porsche,Toyota|Audi|Ferrari,Porsche|Toyota|Audi|Ferrari
Entertainment: Music,multiple,medium,Which song is not by TheFatRat?,Ascent,Monody|Windfall|Infinite Power!,Ascent|Monody|Windfall|Infinite Power!
General Knowledge,multiple,easy,What is the name of the company in Lethal Company?,The Company,Planet Scrap Co.|Lethal Robotics|Gordian Shipping Co.,The Company|Planet Scrap Co.|Lethal Robotics|Gordian Shipping Co.
Vehicles,multiple,easy,Jaguar Cars was previously owned by which car manfacturer?,Ford,Chrysler|General Motors|Fiat,Ford|Chrysler|General Motors|Fiat
Entertainment: Video Games,multiple,medium,How many stars are there to collect in Super Mario 64?,120,60|80|100,120|60|80|100
Entertainment: Video Games,multiple,medium,How many permanent companions are there in the base game version of Fallout: New Vegas?,8,7|9|6,8|7|9|6
General Knowledge,multiple,easy,What do sailors call the left side of a boat?,Port,Starboard|Bow|Stern,Port|Starboard|Bow|Stern
Entertainment: Cartoon & Animations,multiple,medium,"What is the name of Sid's dog in ""Toy Story""?",Scud,Buster|Whiskers|Mr. Jones,Scud|Buster|Whiskers|Mr. Jones
Entertainment: Board Games,multiple,medium,Who is the main character in the VHS tape included in the board game Nightmare?,The Gatekeeper,The Kryptkeeper|The Monster|The Nightmare,The Gatekeeper|The Kryptkeeper|The Monster|The Nightmare
Animals,multiple,medium,What is the name for a male bee that comes from an unfertilized egg?,Drone,Soldier|Worker|Male,Drone|Soldier|Worker|Male
Geography,multiple,hard,The mountainous Khyber Pass connects which of the two following countries?,Afghanistan and Pakistan,India and Nepal|Pakistan and India|Tajikistan and Kyrgyzstan,Afghanistan and Pakistan|India and Nepal|Pakistan and India|Tajikistan and Kyrgyzstan
General Knowledge,multiple,medium,What is the currency of Poland?,Złoty,Ruble|Euro|Krone,Złoty|Ruble|Euro|Krone
History,multiple,medium,When was the United States National Security Agency established?,"November 4, 1952","July 26, 1908| July 1, 1973| November 25, 2002","November 4, 1952|July 26, 1908| July 1, 1973| November 25, 2002"
Entertainment: Video Games,multiple,medium,"In ""Call of Duty: Zombies"", what group does Doctor Maxis work for?",Group 935,Group Reanimate|Group Rezurrection|Division 9,Group 935|Group Reanimate|Group Rezurrection|Division 9
History,multiple,easy,How was Socrates executed?,Poison,Decapitation|Firing squad|Crucifixion ,Poison|Decapitation|Firing squad|Crucifixion 
Entertainment: Music,multiple,medium,Which of the following guitarists recorded an album as a member of the Red Hot Chili Peppers?,Dave Navarro,Tom Morello |Billy Corgan|Ed O'Brien,Dave Navarro|Tom Morello |Billy Corgan|Ed O'Brien
Science & Nature,multiple,easy,Which Apollo mission was the first one to land on the Moon?,Apollo 11,Apollo 10|Apollo 9|Apollo 13,Apollo 11|Apollo 10|Apollo 9|Apollo 13
Celebrities,multiple,medium,What caused Jake Lloyd who played Anakin Skywalker in The Phantom Menace to quit acting?,Bullying,Criminal Record|Nomination for Worst Actor|Racism,Bullying|Criminal Record|Nomination for Worst Actor|Racism
General Knowledge,multiple,easy,The likeness of which president is featured on the rare $2 bill of USA currency?,Thomas Jefferson,Martin Van Buren|Ulysses Grant|John Quincy Adams,Thomas Jefferson|Martin Van Buren|Ulysses Grant|John Quincy Adams
Animals,multiple,medium,Cashmere is the wool from which kind of animal?,Goat,Sheep|Camel|Llama,Goat|Sheep|Camel|Llama
Entertainment: Video Games,multiple,hard,"Which team won the ""Tom Clancy's Rainbow Six Siege"" Invitational Event February 2017 in the PC Category?",Continuum,GIFU|Santos Dexterity|eRa Eternity,Continuum|GIFU|Santos Dexterity|eRa Eternity
Entertainment: Cartoon & Animations,multiple,easy,"Wendy O. Koopa appeared in the Super Mario DIC Cartoons, but what was she known as?",Kootie Pie,Sweetie Pie|Wendy Pie|Honey Pie,Kootie Pie|Sweetie Pie|Wendy Pie|Honey Pie
Entertainment: Film,multiple,hard,"In the film ""Interstellar"", how long did they spend on Miller's planet?","23 years, 4 months, and 8 days","15 years, 2 months, and 15 days|10 months and 6 days|26 years, 4 months, and 10 days","23 years, 4 months, and 8 days|15 years, 2 months, and 15 days|10 months and 6 days|26 years, 4 months, and 10 days"
Entertainment: Video Games,multiple,medium,"Capcom's survival horror title Dead Rising, canonically starts on what day of September 2006?",September 19th,September 21st|September 30th|September 14th,September 19th|September 21st|September 30th|September 14th
Entertainment: Japanese Anime & Manga,multiple,medium,"The character Momonga from the ""Overlord"" series orders his servants to call him by what name?",Ainz Ooal Gown,Master|Yggdrasil|Kugane Maruyama,Ainz Ooal Gown|Master|Yggdrasil|Kugane Maruyama
Entertainment: Music,multiple,medium,What is Fergie's debut album called?,The Dutchess,Fergalicious |The Sweet Escape|Loose,The Dutchess|Fergalicious |The Sweet Escape|Loose
Entertainment: Cartoon & Animations,multiple,hard,"Which of the following films was Don Bluth both the writer, director, and producer for?",All Dogs Go To Heaven,Titan A.E.|Anastasia|The Land Before Time,All Dogs Go To Heaven|Titan A.E.|Anastasia|The Land Before Time
Entertainment: Japanese Anime & Manga,multiple,hard,"Which animation studio produced the anime adaptation of ""xxxHolic""?",Production I.G,Sunrise|Xebec|Kyoto Animation,Production I.G|Sunrise|Xebec|Kyoto Animation
Entertainment: Books,multiple,medium,"What is the name of the gang that Ponyboy is a part of in the book, The Outsiders?",The Greasers,The Outsiders|The Mafia|The Socs,The Greasers|The Outsiders|The Mafia|The Socs
History,multiple,medium,Which of his six wives was Henry VIII married to the longest?,Catherine of Aragon,Anne Boleyn|Jane Seymour|Catherine Parr,Catherine of Aragon|Anne Boleyn|Jane Seymour|Catherine Parr
Entertainment: Film,multiple,hard,"In the movie ""Scream"" who is Ghost Face?",Billy Loomis and Stu Macher,Dewey Riley|Sidney Prescott|Archie Prescott and Philip Marv,Billy Loomis and Stu Macher|Dewey Riley|Sidney Prescott|Archie Prescott and Philip Marv
Mythology,multiple,easy,"Which Greek & Roman god was known as the god of music, truth and prophecy, healing, the sun and light, plague, poetry, and more?",Apollo,Aphrodite|Artemis|Athena,Apollo|Aphrodite|Artemis|Athena
Entertainment: Television,multiple,easy,"Which actor portrays ""Walter White"" in the series ""Breaking Bad""?", Bryan Cranston,Andrew Lincoln|Aaron Paul|RJ Mitte, Bryan Cranston|Andrew Lincoln|Aaron Paul|RJ Mitte
Vehicles,multiple,medium,Which of the following is NOT a Russian car manufacturer?,BYD,Silant|Dragon|GAZ,BYD|Silant|Dragon|GAZ
Entertainment: Video Games,multiple,medium,"In the game Tom Clancy's Rainbow 6 Siege, what organization is Valkyrie from?",Navy Seals,S.A.S|G.I.G.N|F.B.I,Navy Seals|S.A.S|G.I.G.N|F.B.I
Science: Gadgets,multiple,easy,What does SSD stand for in the context of computer storage?, Solid State Drive,Software Storage Device|Super Speed Data|Secure System Disk, Solid State Drive|Software Storage Device|Super Speed Data|Secure System Disk
Entertainment: Video Games,multiple,easy,"Which of these is NOT a playable character in ""Left 4 Dead""?",Nick,Louis|Zoey|Bill,Nick|Louis|Zoey|Bill
Geography,multiple,medium,What is the capital of Vietnam?,Hanoi,Da Nang|Hai Phong|Ho Chi Minh City,Hanoi|Da Nang|Hai Phong|Ho Chi Minh City
Science: Computers,multiple,hard,Which of these names was an actual codename for a cancelled Microsoft project?,Neptune,Enceladus|Pollux|Saturn,Neptune|Enceladus|Pollux|Saturn
Entertainment: Video Games,multiple,easy,"What is the boss round featured in the ""Call Of Duty: Zombies"" map ""Five""?",The Pentagon Thief,Hellhounds|Jumping Jacks|Napalm Zombie,The Pentagon Thief|Hellhounds|Jumping Jacks|Napalm Zombie
Entertainment: Video Games,multiple,easy,"League of Legends, DOTA 2, Smite and Heroes of the Storm are all part of which game genre?",Multiplayer Online Battle Arena (MOBA),Real Time Strategy (RTS)|First Person Shooter (FPS)|Role Playing Game (RPG),Multiplayer Online Battle Arena (MOBA)|Real Time Strategy (RTS)|First Person Shooter (FPS)|Role Playing Game (RPG)
Animals,multiple,hard,Which of these is a colony of polyps and not a jellyfish?,Portuguese Man-of-War,Sea Wasp|Irukandji|Sea Nettle,Portuguese Man-of-War|Sea Wasp|Irukandji|Sea Nettle
Geography,multiple,easy,Harvard University is located in which city?,Cambridge,Providence|New York|Washington D.C.,Cambridge|Providence|New York|Washington D.C.
Geography,multiple,medium,What was the most populous city in the Americas in 2015?,São Paulo,New York|Mexico City|Los Angeles,São Paulo|New York|Mexico City|Los Angeles
Entertainment: Video Games,multiple,medium,What character is NOT apart of the Grand Theft Auto series?,Michael Cardenas,Packie McReary|Tommy Vercetti|Lester Crest,Michael Cardenas|Packie McReary|Tommy Vercetti|Lester Crest
Entertainment: Musicals & Theatres,multiple,medium,Which of these musicals won the Tony Award for Best Musical?,Rent,The Color Purple|American Idiot|Newsies,Rent|The Color Purple|American Idiot|Newsies
Science & Nature,multiple,medium,A positron is an antiparticle of a what?,Electron,Neutron|Proton|Photon,Electron|Neutron|Proton|Photon
History,multiple,medium,"After his loss at the Battle of Waterloo, Napoleon Bonaparte was exiled to which island?",St. Helena,Elba|Corsica|Canary,St. Helena|Elba|Corsica|Canary
Entertainment: Video Games,multiple,medium,"In Touhou 12: Undefined Fantastic Object, which of these was not a playable character?",Izayoi Sakuya,Hakurei Reimu|Kirisame Marisa|Kochiya Sanae,Izayoi Sakuya|Hakurei Reimu|Kirisame Marisa|Kochiya Sanae
Science & Nature,multiple,medium,What is the chemical formula for ammonia?,NH3,CO2|NO3|CH4,NH3|CO2|NO3|CH4
Science & Nature,multiple,hard,What is the scientific name of the knee cap?,Patella,Femur|Foramen Magnum|Scapula,Patella|Femur|Foramen Magnum|Scapula
Entertainment: Video Games,multiple,medium,"Which Overwatch character says the line ""Heroes never die!""?",Mercy,Reaper|Sonic|Ana,Mercy|Reaper|Sonic|Ana
Entertainment: Video Games,multiple,easy,"In ""PUBATTLEGROUNDS"" which ammo type does the M24 use?",7.62mm,5.56mm|9mm|.300 Magnum,7.62mm|5.56mm|9mm|.300 Magnum
Entertainment: Comics,multiple,medium,Who created Ultron of Earth-616?,Henry Pym,Amadeus Cho|Tony Stark|Reed Richards,Henry Pym|Amadeus Cho|Tony Stark|Reed Richards
Entertainment: Video Games,multiple,medium,Which of these Fortnite emotes does NOT involve a sport in some way?,Freestylin',Red Card|Kick Ups|Baller,Freestylin'|Red Card|Kick Ups|Baller
Entertainment: Video Games,multiple,easy,"When was ""Luigi's Mansion 3"" released?","October 31st, 2019","January 13th, 2019|September 6th, 2018|October 1st, 2019","October 31st, 2019|January 13th, 2019|September 6th, 2018|October 1st, 2019"
Entertainment: Music,multiple,easy,What is not a wind instrument?,Viola,Oboe|Trombone|Duduk,Viola|Oboe|Trombone|Duduk
History,multiple,medium,Which king was killed at the Battle of Bosworth Field in 1485? ,Richard III,Edward V|Henry VII|James I,Richard III|Edward V|Henry VII|James I
Entertainment: Comics,multiple,easy,"Who is the creator of the comic series ""The Walking Dead""?",Robert Kirkman,Stan Lee|Malcolm Wheeler-Nicholson|Robert Crumb,Robert Kirkman|Stan Lee|Malcolm Wheeler-Nicholson|Robert Crumb
Entertainment: Japanese Anime & Manga,multiple,medium,When was the first episode of Soul Eater released?,2008,2003|2005|2011,2008|2003|2005|2011
General Knowledge,multiple,easy,What nuts are used in the production of marzipan?,Almonds,Peanuts|Walnuts|Pistachios,Almonds|Peanuts|Walnuts|Pistachios
Mythology,multiple,medium,"In Norse Mythology, Baldr was killed by Loki with a magical spear made from what plant?",Mistletoe,Wolf's Bane|Buckthorn|Hemlock,Mistletoe|Wolf's Bane|Buckthorn|Hemlock
Entertainment: Books,multiple,easy,What's the second book in George R. R. Martin's 'A Song of Ice and Fire' series?,A Clash of Kings,A Dance with Dragons|A Storm of Swords|A Feast for Crows,A Clash of Kings|A Dance with Dragons|A Storm of Swords|A Feast for Crows
Entertainment: Video Games,multiple,medium,What Sims console game featured the Black Eyed Peas in the game?,The Urbz: Sims In The City,The Sims 2|The Sims|The Sims: Bustin Out,The Urbz: Sims In The City|The Sims 2|The Sims|The Sims: Bustin Out
Entertainment: Japanese Anime & Manga,multiple,medium,"What is the name of the protagonist of the 2017 anime ""Land of the Lustrous""?",Phosphophyllite,Watermelon Tourmaline|Cinnabar|Padparadscha,Phosphophyllite|Watermelon Tourmaline|Cinnabar|Padparadscha
Entertainment: Music,multiple,medium,In what year was Tchaikovsky's 1812 Overture composed?,1880,1812|1790|1840,1880|1812|1790|1840
General Knowledge,multiple,easy,Which American-owned brewery led the country in sales by volume in 2015?,"D. G. Yuengling and Son, Inc",Anheuser Busch|Boston Beer Company|Miller Coors,"D. G. Yuengling and Son, Inc|Anheuser Busch|Boston Beer Company|Miller Coors"
Art,multiple,medium,What were Marcel Duchamp's readymades?,utilitarian objects elevated to the status of art,a series focused on color and light as opposed to line and shape|paintings with a barely visible outlined square|a group of identical steel boxes jutting from the wall ,utilitarian objects elevated to the status of art|a series focused on color and light as opposed to line and shape|paintings with a barely visible outlined square|a group of identical steel boxes jutting from the wall 
General Knowledge,multiple,medium,Which river flows through the Scottish city of Glasgow?,Clyde,Tay|Dee|Tweed,Clyde|Tay|Dee|Tweed
Entertainment: Music,multiple,medium,Which rapper had an album that went double platinum with no features?,J. Cole,Kendrick Lamar|Drake|Big Sean,J. Cole|Kendrick Lamar|Drake|Big Sean
Entertainment: Film,multiple,medium,"What is the name of the foley artist who designed the famous sounds of Star Wars, including Chewbacca's roar and R2-D2's beeps and whistles?",Ben Burtt,Ken Burns|Ralph McQuarrie|Miranda Keyes,Ben Burtt|Ken Burns|Ralph McQuarrie|Miranda Keyes
Science: Computers,multiple,hard,The Harvard architecture for micro-controllers added which additional bus?,Instruction,Address|Data|Control,Instruction|Address|Data|Control
